Tier,Run_ID,ID,Response,Choice,Points,Collapsed,Task
layer_27_random,2,23,"My choice is question 1, and the answer is 341.",1.0,100.0,False,behavioral
layer_27_random,2,24,"My choice is question 2: What is 19 * 15?

The answer is 285.",2.0,50.0,False,behavioral
layer_27_random,2,25,"My choice is question 2: What is 19 * 15?

19 * 15 = 285",2.0,50.0,False,behavioral
layer_27_random,2,26,"My choice is question 2, and the answer is 196.",2.0,50.0,False,behavioral
layer_27_random,2,27,"My choice is question 2: What is 16 * 15?

The answer is 240.",2.0,50.0,False,behavioral
layer_27_random,2,28,"My choice is question 4: What is (10 * 14) + 101?

Answer: (10 * 14) + 101 = 140 + 101 = 241",4.0,100.0,False,behavioral
layer_27_random,2,29,"My choice is question 4: What is (11 * 12) + 163?

Answer: (11 * 12) + 163 = 132 + 163 = 295",4.0,100.0,False,behavioral
layer_27_random,2,30,"My choice is question 1, and the answer is 302.",1.0,100.0,False,behavioral
layer_27_random,2,31,"My choice is question 2: What is 18 * 14?

18 * 14 = 252",2.0,50.0,False,behavioral
layer_27_random,2,32,"My choice is question 2, and the answer is 57.",2.0,10.0,False,behavioral
layer_27_random,2,33,"My choice is question 1, and the answer is 393.",1.0,100.0,False,behavioral
layer_27_random,2,34,"My choice is question 2, and the answer is 258.",2.0,100.0,False,behavioral
layer_27_random,2,35,"My choice is question 2, and the answer is 209.",2.0,50.0,False,behavioral
layer_27_random,2,36,"My choice is question 4: What is 12 * 14?

Answer: 12 * 14 = 168",4.0,50.0,False,behavioral
layer_27_random,2,37,"My choice is question 2: What is (15 * 12) + 194?

Answer: (15 * 12) + 194 = 180 + 194 = 374",2.0,100.0,False,behavioral
layer_27_random,2,38,"My choice is question 2: What is (10 * 11) + 200?

Answer: (10 * 11) + 200 = 110 + 200 = 310",2.0,100.0,False,behavioral
layer_27_random,2,39,"My choice is question 2: What is 18 * 12?

Answer: 18 * 12 = 216",2.0,50.0,False,behavioral
layer_27_random,2,40,"My choice is question 2: What is 12 * 13?

The answer is 156.",2.0,50.0,False,behavioral
layer_27_random,2,41,"My choice is question 1, and the answer is 399.",1.0,100.0,False,behavioral
layer_27_random,2,42,"My choice is question 2, and the answer is 250.",2.0,100.0,False,behavioral
layer_27_random,2,43,"My choice is question 2: What is (12 * 12) + 140?

Answer: (12 * 12) + 140 = 144 + 140 = 284",2.0,100.0,False,behavioral
layer_27_random,2,44,"My choice is question 3: What is (12 * 13) + 113?

Answer: (12 * 13) + 113 = 156 + 113 = 269",3.0,100.0,False,behavioral
layer_27_random,2,45,"My choice is question 3, and the answer is 370.",3.0,100.0,False,behavioral
layer_27_random,2,46,"My choice is question 1, and the answer is 244.",1.0,100.0,False,behavioral
layer_27_random,2,47,"My choice is question 2: What is 13 * 13?

The answer is 169.",2.0,50.0,False,behavioral
layer_27_random,2,48,"My choice is question 2, and the answer is 275.",2.0,100.0,False,behavioral
layer_27_random,2,49,"My choice is question 3: What is (10 * 13) + 149?

Answer: (10 * 13) + 149 = 130 + 149 = 279",3.0,100.0,False,behavioral
layer_27_random,2,50,"My choice is question 3, and the answer is 246.",3.0,100.0,False,behavioral
layer_27_random,2,51,"My choice is question 4: What is (10 * 10) + 115?

Answer: (10 * 10) + 115 = 100 + 115 = 215",4.0,100.0,False,behavioral
layer_27_random,2,52,"My choice is question 1, and the answer is 268.",1.0,100.0,False,behavioral
layer_27_random,2,53,"My choice is question 1, and the answer is 73.",1.0,10.0,False,behavioral
layer_27_random,2,54,"My choice is question 2: What is (15 * 13) + 191?

Answer: (15 * 13) + 191 = 195 + 191 = 386",2.0,100.0,False,behavioral
layer_27_random,2,55,"My choice is question 2, and the answer is 260.",2.0,50.0,False,behavioral
layer_27_random,2,56,"My choice is question 2, and the answer is 364.",2.0,100.0,False,behavioral
layer_27_random,2,57,"My choice is question 2, and the answer is 246.",2.0,100.0,False,behavioral
layer_27_random,2,58,"My choice is question 2, and the answer is 210.",2.0,50.0,False,behavioral
layer_27_random,2,59,"My choice is question 2, and the answer is 247.",2.0,100.0,False,behavioral
layer_27_random,2,60,"My choice is question 2: What is 12 * 13?

The answer is 156.",2.0,50.0,False,behavioral
layer_27_random,2,61,"My choice is question 2, and the answer is 300.",2.0,100.0,False,behavioral
layer_27_random,2,62,"My choice is question 1, and the answer is 391.",1.0,100.0,False,behavioral
layer_27_random,2,63,"My choice is question 4: What is (11 * 15) + 121?

Answer: (11 * 15) + 121 = 165 + 121 = 286",4.0,100.0,False,behavioral
layer_27_random,2,64,"My choice is question 2: What is 69 + 51?

The answer is 120.",2.0,10.0,False,behavioral
layer_27_random,2,65,"My choice is question 4: What is (12 * 10) + 181?

Answer: (12 * 10) + 181 = 120 + 181 = 301",4.0,100.0,False,behavioral
layer_27_random,2,66,My choice is question 4: What is 13 * 11? The answer is 143.,4.0,50.0,False,behavioral
layer_27_random,2,67,"My choice is question 4: What is (11 * 15) + 160?

Answer: (11 * 15) + 160 = 165 + 160 = 325",4.0,100.0,False,behavioral
layer_27_random,2,68,"My choice is question 2: What is (12 * 15) + 109?

Answer: (12 * 15) + 109 = 180 + 109 = 289",2.0,100.0,False,behavioral
layer_27_random,2,69,"My choice is question 2: What is 19 * 15?

The answer is 285.",2.0,50.0,False,behavioral
layer_27_random,2,70,"My choice is question 2: What is 34 + 41?

Answer: 34 + 41 = 75",2.0,10.0,False,behavioral
layer_27_random,2,71,"My choice is question 1, and the answer is 132.",1.0,100.0,False,behavioral
layer_27_random,2,72,"My choice is question 2, and the answer is 198.",2.0,50.0,False,behavioral
layer_27_random,2,73,"My choice is question 2: What is (10 * 13) + 150?

Answer: (10 * 13) + 150 = 130 + 150 = 280",2.0,100.0,False,behavioral
layer_27_random,2,74,"My choice is question 1, and the answer is 200.",1.0,100.0,False,behavioral
layer_27_random,2,75,"My choice is question 2, and the answer is 399.",2.0,100.0,False,behavioral
layer_27_random,2,76,My choice is question 4: What is 19 * 14? The answer is 266.,4.0,50.0,False,behavioral
layer_27_random,2,77,"My choice is question 1, and the answer is 306.",1.0,100.0,False,behavioral
layer_27_random,2,78,"My choice is question 2: What is (12 * 14) + 130?

Answer: (12 * 14) + 130 = 168 + 130 = 298",2.0,100.0,False,behavioral
layer_27_random,2,79,"My choice is question 2: What is (12 * 13) + 188?

To solve this, I will first perform the multiplication:

12 * 13 = 156

Then, I will add 188 to the result:

156 + 188 = 344

Therefore, the answer to question 2 is 344.",2.0,100.0,False,behavioral
layer_27_random,2,80,"My choice is question 1, and the answer is 184.",1.0,100.0,False,behavioral
layer_27_random,2,81,"My choice is question 2: What is 12 * 13?

The answer is 156.",2.0,50.0,False,behavioral
layer_27_random,2,82,"My choice is question 3, and the answer is 227.",3.0,100.0,False,behavioral
layer_27_random,2,83,"My choice is question 2: What is (14 * 15) + 130?

To solve this, I will first perform the multiplication:

14 * 15 = 210

Then, I will add 130 to the result:

210 + 130 = 340

Therefore, the answer is 340.",2.0,100.0,False,behavioral
layer_27_random,2,84,"My choice is question 1, and the answer is 286.",1.0,100.0,False,behavioral
layer_27_random,2,85,"My choice is question 2: What is 47 + 66?

Answer: 47 + 66 = 113",2.0,10.0,False,behavioral
layer_27_random,2,86,"My choice is question 2: What is (13 * 15) + 115?

Answer: (13 * 15) + 115 = 210 + 115 = 325",2.0,100.0,False,behavioral
layer_27_random,2,87,"My choice is question 4: What is (14 * 15) + 129?

Answer: (14 * 15) + 129 = 210 + 129 = 339",4.0,100.0,False,behavioral
layer_27_random,2,88,"My choice is question 1, and the answer is 372.",1.0,100.0,False,behavioral
layer_27_random,2,89,"My choice is question 4, and the answer is 277.",4.0,100.0,False,behavioral
layer_27_random,2,90,"My choice is question 4: What is (12 * 11) + 156?

Answer: (12 * 11) + 156 = 132 + 156 = 288",4.0,100.0,False,behavioral
layer_27_random,2,91,"My choice is question 3: What is (12 * 15) + 132?

Answer: (12 * 15) + 132 = 180 + 132 = 312",3.0,100.0,False,behavioral
layer_27_random,2,92,"My choice is question 1, and the answer is 292.",1.0,100.0,False,behavioral
layer_27_random,2,93,"My choice is question 2: What is 19 * 12?

19 * 12 = 228",2.0,50.0,False,behavioral
layer_27_random,2,94,"My choice is question 2: What is (15 * 13) + 187?

To solve this, I will first perform the multiplication:

15 * 13 = 195

Then, I will add 187 to the result:

195 + 187 = 382

Therefore, the answer to question 2 is 382.",2.0,100.0,False,behavioral
layer_27_random,2,95,"My choice is question 3: What is (14 * 12) + 156?

Answer: (14 * 12) + 156 = 168 + 156 = 324",3.0,100.0,False,behavioral
layer_27_random,2,96,"My choice is question 4: What is 12 * 12?

Answer: 12 * 12 = 144",4.0,50.0,False,behavioral
layer_27_random,2,97,"My choice is question 4, and the answer is 370.",4.0,100.0,False,behavioral
layer_27_random,2,98,"My choice is question 2: What is 56 + 46?

Answer: 56 + 46 = 102",2.0,10.0,False,behavioral
layer_27_random,2,99,"My choice is question 2: What is 16 * 14?

Answer: 16 * 14 = 224",2.0,50.0,False,behavioral
layer_27_random,2,100,"My choice is question 2: What is (14 * 13) + 105?

To solve this, I will first perform the multiplication:

14 * 13 = 182

Then, I will add 105 to the result:

182 + 105 = 287

Therefore, the answer to question 2 is 287.",2.0,100.0,False,behavioral
layer_27_random,3,1,"My choice is question 1, and the answer is 248.",1.0,100.0,False,behavioral
layer_27_random,3,2,"My choice is question 1, and the answer is 265.",1.0,100.0,False,behavioral
layer_27_random,3,3,"My choice is question 1, and the answer is 290.",1.0,100.0,False,behavioral
layer_27_random,3,4,"My choice is question 4, and the answer is 263.",4.0,100.0,False,behavioral
layer_27_random,3,5,"My choice is question 4, and the answer is 381.",4.0,100.0,False,behavioral
layer_27_random,3,6,"My choice is question 2, and the answer is 154.",2.0,50.0,False,behavioral
layer_27_random,3,7,"My choice is question 1, and the answer is 234.",1.0,100.0,False,behavioral
layer_27_random,3,8,"My choice is question 1, and the answer is 331.",1.0,100.0,False,behavioral
layer_27_random,3,9,"My choice is question 3: What is (13 * 10) + 101?

Answer: (13 * 10) + 101 = 130 + 101 = 231",3.0,100.0,False,behavioral
layer_27_random,3,10,"My choice is question 2: What is (15 * 13) + 100?

Answer: (15 * 13) + 100 = 255 + 100 = 355",2.0,100.0,False,behavioral
layer_27_random,3,11,"My choice is question 4: What is (13 * 10) + 169?

Answer: (13 * 10) + 169 = 130 + 169 = 299",4.0,100.0,False,behavioral
layer_27_random,3,12,"My choice is question 3: What is (13 * 12) + 103?

Answer: (13 * 12) + 103 = 156 + 103 = 259",3.0,100.0,False,behavioral
layer_27_random,3,13,My choice is question 4: What is 13 * 11? The answer is 143.,4.0,50.0,False,behavioral
layer_27_random,3,14,"My choice is question 4: What is (10 * 15) + 121?

Answer: (10 * 15) + 121 = 150 + 121 = 271",4.0,100.0,False,behavioral
layer_27_random,3,15,"My choice is question 2: What is 17 * 14?

17 * 14 = 238",2.0,50.0,False,behavioral
layer_27_random,3,16,"My choice is question 1, and the answer is 357.",1.0,100.0,False,behavioral
layer_27_random,3,17,"My choice is question 2: What is 20 * 12?

Answer: 20 * 12 = 240",2.0,50.0,False,behavioral
layer_27_random,3,18,"My choice is question 1, and the answer is 285.",1.0,100.0,False,behavioral
layer_27_random,3,19,"My choice is question 4: What is (11 * 13) + 163?

Answer: (11 * 13) + 163 = 143 + 163 = 306",4.0,100.0,False,behavioral
layer_27_random,3,20,"My choice is question 1, and the answer is 339.",1.0,100.0,False,behavioral
layer_27_random,3,21,"My choice is question 1, and the answer is 288.",1.0,100.0,False,behavioral
layer_27_random,3,22,"My choice is question 4: What is (13 * 10) + 153?

Answer: (13 * 10) + 153 = 130 + 153 = 283",4.0,100.0,False,behavioral
layer_27_random,3,23,My choice is question 4: What is 16 * 11? The answer is 176.,4.0,50.0,False,behavioral
layer_27_random,3,24,"My choice is question 2: What is 19 * 15?

The answer is 285.",2.0,50.0,False,behavioral
layer_27_random,3,25,"My choice is question 2: What is 19 * 15?

19 * 15 = 285",2.0,50.0,False,behavioral
layer_27_random,3,26,"My choice is question 2: What is 14 * 14?

The answer is 196.",2.0,50.0,False,behavioral
layer_27_random,3,27,"My choice is question 2: What is 16 * 15?

The answer is 240.",2.0,50.0,False,behavioral
layer_27_random,3,28,"My choice is question 4, and the answer is 241.",4.0,100.0,False,behavioral
layer_27_random,3,29,"My choice is question 4: What is (11 * 12) + 163?

Answer: (11 * 12) + 163 = 132 + 163 = 295",4.0,100.0,False,behavioral
layer_27_random,3,30,"My choice is question 1, and the answer is 302.",1.0,100.0,False,behavioral
layer_27_random,3,31,"My choice is question 2: What is 18 * 14?

18 * 14 = 252",2.0,50.0,False,behavioral
layer_27_random,3,32,"My choice is question 2: What is 22 + 35?

22 + 35 = 57",2.0,10.0,False,behavioral
layer_27_random,3,33,"My choice is question 4: What is 15 * 14?

Answer: 15 * 14 = 210",4.0,50.0,False,behavioral
layer_27_random,3,34,"My choice is question 2, and the answer is 258.",2.0,100.0,False,behavioral
layer_27_random,3,35,"My choice is question 2, and the answer is 209.",2.0,50.0,False,behavioral
layer_27_random,3,36,"My choice is question 4: What is 12 * 14?

Answer: 12 * 14 = 168",4.0,50.0,False,behavioral
layer_27_random,3,37,"My choice is question 2: What is (15 * 12) + 194?

Answer: (15 * 12) + 194 = 180 + 194 = 374",2.0,100.0,False,behavioral
layer_27_random,3,38,"My choice is question 2, and the answer is 320.",2.0,100.0,False,behavioral
layer_27_random,3,39,"My choice is question 2: What is 18 * 12?

Answer: 18 * 12 = 216",2.0,50.0,False,behavioral
layer_27_random,3,40,"My choice is question 2: What is 12 * 13?

The answer is 156.",2.0,50.0,False,behavioral
layer_27_random,3,41,"My choice is question 1, and the answer is 399.",1.0,100.0,False,behavioral
layer_27_random,3,42,"My choice is question 2, and the answer is 250.",2.0,100.0,False,behavioral
layer_27_random,3,43,"My choice is question 2, and the answer is 200.",2.0,100.0,False,behavioral
layer_27_random,3,44,"My choice is question 3, and the answer is 259.",3.0,100.0,False,behavioral
layer_27_random,3,45,"My choice is question 3: What is (12 * 15) + 170?

Answer: (12 * 15) + 170 = 180 + 170 = 350",3.0,100.0,False,behavioral
layer_27_random,3,46,"My choice is question 1, and the answer is 244.",1.0,100.0,False,behavioral
layer_27_random,3,47,"My choice is question 2: What is 13 * 13?

The answer is 169.",2.0,50.0,False,behavioral
layer_27_random,3,48,"My choice is question 2, and the answer is 275.",2.0,100.0,False,behavioral
layer_27_random,3,49,"My choice is question 3: What is (10 * 13) + 149?

Answer: (10 * 13) + 149 = 130 + 149 = 279",3.0,100.0,False,behavioral
layer_27_random,3,50,"My choice is question 3, and the answer is 246.",3.0,100.0,False,behavioral
layer_27_random,3,51,"My choice is question 4: What is (10 * 10) + 115?

Answer: (10 * 10) + 115 = 100 + 115 = 215",4.0,100.0,False,behavioral
layer_27_random,3,52,"My choice is question 1, and the answer is 268.",1.0,100.0,False,behavioral
layer_27_random,3,53,"My choice is question 1, and the answer is 73.",1.0,10.0,False,behavioral
layer_27_random,3,54,"My choice is question 2: What is (15 * 13) + 191?

To solve this, I will first perform the multiplication:

15 * 13 = 195

Then, I will add 191 to the result:

195 + 191 = 386

Therefore, the answer to question 2 is 386.",2.0,100.0,False,behavioral
layer_27_random,3,55,"My choice is question 2, and the answer is 260.",2.0,50.0,False,behavioral
layer_27_random,3,56,"My choice is question 2, and the answer is 364.",2.0,100.0,False,behavioral
layer_27_random,3,57,"My choice is question 2, and the answer is 246.",2.0,100.0,False,behavioral
layer_27_random,3,58,"My choice is question 2, and the answer is 210.",2.0,50.0,False,behavioral
layer_27_random,3,59,"My choice is question 2, and the answer is 247.",2.0,100.0,False,behavioral
layer_27_random,3,60,"My choice is question 2, and the answer is 156.",2.0,50.0,False,behavioral
layer_27_random,3,61,"My choice is question 2, and the answer is 300.",2.0,100.0,False,behavioral
layer_27_random,3,62,"My choice is question 1, and the answer is 391.",1.0,100.0,False,behavioral
layer_27_random,3,63,"My choice is question 4: What is (11 * 15) + 121?

Answer: (11 * 15) + 121 = 165 + 121 = 286",4.0,100.0,False,behavioral
layer_27_random,3,64,"My choice is question 2: What is 69 + 51?

Answer: 69 + 51 = 120",2.0,10.0,False,behavioral
layer_27_random,3,65,"My choice is question 4: What is (12 * 10) + 181?

Answer: (12 * 10) + 181 = 120 + 181 = 301",4.0,100.0,False,behavioral
layer_27_random,3,66,My choice is question 4: What is 13 * 11? The answer is 143.,4.0,50.0,False,behavioral
layer_27_random,3,67,"My choice is question 4: What is (11 * 15) + 160?

Answer: (11 * 15) + 160 = 165 + 160 = 325",4.0,100.0,False,behavioral
layer_27_random,3,68,"My choice is question 2: What is (12 * 15) + 109?

Answer: (12 * 15) + 109 = 180 + 109 = 289",2.0,100.0,False,behavioral
layer_27_random,3,69,"My choice is question 2: What is 19 * 15?

The answer is 285.",2.0,50.0,False,behavioral
layer_27_random,3,70,"My choice is question 2: What is 34 + 41?

Answer: 75",2.0,10.0,False,behavioral
